Award ID,Generated Award ID,Award Category,Transaction Count,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Last Checked Date
80GSFC22CA012,CONT_AWD_80GSFC22CA012_8000_-NONE-_-NONE-,contract,10,P00009,,,2022-08-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-12,P00009,2026-02-12,,,2026-08-16
80GSFC22CA013,CONT_AWD_80GSFC22CA013_8000_-NONE-_-NONE-,contract,7,P00006,,,2022-07-11,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-09,P00006,2026-02-09,,,2026-08-16
80GSFC22CA021,CONT_AWD_80GSFC22CA021_8000_-NONE-_-NONE-,contract,16,P00015,,,2022-03-07,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-06-17,P00015,2025-06-17,,,2026-08-16
80GSFC23CA001,CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,contract,14,P00013,,,2023-07-26,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-07-30,P00013,2026-07-30,,,2026-08-16
80GSFC23CA005,CONT_AWD_80GSFC23CA005_8000_-NONE-_-NONE-,contract,7,P00006,,,2022-12-06,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-11,P00006,2025-09-11,,,2026-08-16
80GSFC23CA030,CONT_AWD_80GSFC23CA030_8000_-NONE-_-NONE-,contract,11,P00010,,,2022-11-22,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-29,P00010,2025-09-29,,,2026-08-16
80GSFC23CA032,CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,contract,12,P00012,,,2023-02-23,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-07-30,P00012,2026-07-30,,,2026-08-16
80GSFC23CA041,CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,contract,29,P00028,,,2023-02-14,C,FUNDING ONLY ACTION,2026-06-12,,,,,2026-08-16
80GSFC23PA006,CONT_AWD_80GSFC23PA006_8000_-NONE-_-NONE-,contract,4,P00003,,,2023-01-12,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-06-18,P00003,2025-06-18,,,2026-08-16
80GSFC24CA024,CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-,contract,14,P00013,,,2024-07-02,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-06-18,P00007,2025-04-08,,,2026-08-16
80GSFC25P0001,CONT_AWD_80GSFC25P0001_8000_-NONE-_-NONE-,contract,2,P00001,,,2025-04-08,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-24,P00001,2025-09-24,,,2026-08-16
80HQTR20D0005,CONT_IDV_80HQTR20D0005_8000,idv,6,P00005,,,2020-06-15,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2026-08-16
80HQTR21AA001,CONT_IDV_80HQTR21AA001_8000,idv,5,P00004,,,2021-07-29,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-11,P00004,2025-03-11,,,2026-08-16
80HQTR21AA002,CONT_IDV_80HQTR21AA002_8000,idv,6,P00005,,,2021-09-30,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2026-08-16
80HQTR21D0004,CONT_IDV_80HQTR21D0004_8000,idv,32,P00031,,,2021-04-14,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-03-03,P00031,2026-03-03,,,2026-08-16
80HQTR21F0124,CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730,contract,23,P00022,,,2021-04-20,M,OTHER ADMINISTRATIVE ACTION,2025-03-17,,,,,2026-08-16
80HQTR22AA003,CONT_IDV_80HQTR22AA003_8000,idv,6,P00005,,,2022-05-27,N,LEGAL CONTRACT CANCELLATION,2025-04-03,,,,,2026-08-16
80HQTR22AA009,CONT_IDV_80HQTR22AA009_8000,idv,4,P00003,,,2022-09-28,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-11,P00003,2025-03-11,,,2026-08-16
80HQTR22F0076,CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000,contract,11,P00010,,,2022-05-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-03-18,P00010,2026-03-18,,,2026-08-16
80HQTR22F0109,CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000,contract,6,P00005,,,2022-08-26,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-03-18,P00005,2026-03-18,,,2026-08-16
80HQTR23AA001,CONT_IDV_80HQTR23AA001_8000,idv,7,P00006,,,2022-11-14,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2026-08-16
80HQTR23AA002,CONT_IDV_80HQTR23AA002_8000,idv,6,P00005,,,2023-04-07,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2026-08-16
80HQTR23AA003,CONT_IDV_80HQTR23AA003_8000,idv,4,P00003,,,2023-03-15,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2026-08-16
80HQTR23F0042,CONT_AWD_80HQTR23F0042_8000_80HQTR21D0004_8000,contract,2,P00001,,,2023-02-16,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00001,2026-04-14,,,2026-08-16
80HQTR23FA018,CONT_AWD_80HQTR23FA018_8000_80HQTR22AA005_8000,contract,3,P00002,,,2023-02-08,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2025-02-07,,,,,2026-08-16
80HQTR23FA044,CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000,contract,6,P00005,,,2023-06-05,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-27,P00005,2025-02-27,,,2026-08-16
80HQTR24F0012,CONT_AWD_80HQTR24F0012_8000_80HQTR21D0004_8000,contract,5,P00004,,,2023-11-16,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00004,2026-04-14,,,2026-08-16
80HQTR24F0019,CONT_AWD_80HQTR24F0019_8000_80HQTR21D0004_8000,contract,4,P00003,,,2023-12-19,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-04-09,,,,,2026-08-16
80HQTR24F0037,CONT_AWD_80HQTR24F0037_8000_80HQTR21D0004_8000,contract,4,P00003,,,2024-03-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00003,2026-04-14,,,2026-08-16
80HQTR24F0046,CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000,contract,3,P00002,,,2024-04-10,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2026-08-16
80HQTR24F0064,CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000,contract,4,P00003,,,2024-06-26,M,OTHER ADMINISTRATIVE ACTION,2025-03-21,,,,,2026-08-16
80HQTR24F0070,CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000,contract,2,P00001,,,2024-07-18,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2026-08-16
80HQTR24F0071,CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000,contract,2,P00001,,,2024-07-18,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2026-08-16
80HQTR24F0072,CONT_AWD_80HQTR24F0072_8000_80MSFC21D0009_8000,contract,3,P00002,,,2024-07-18,C,FUNDING ONLY ACTION,2025-08-20,,,,,2026-08-16
80HQTR24F0073,CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000,contract,2,P00001,,,2024-07-18,M,OTHER ADMINISTRATIVE ACTION,2025-03-21,,,,,2026-08-16
80HQTR24F0074,CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000,contract,2,P00001,,,2024-07-30,M,OTHER ADMINISTRATIVE ACTION,2025-03-13,,,,,2026-08-16
80HQTR24F0096,CONT_AWD_80HQTR24F0096_8000_80GSFC19D0011_8000,contract,3,P00002,,,2024-09-26,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2026-08-16
80HQTR24FA019,CONT_AWD_80HQTR24FA019_8000_80HQTR24AA002_8000,contract,14,P00013,,,2023-11-30,C,FUNDING ONLY ACTION,2025-08-11,,,,,2026-08-16
80HQTR24FA038,CONT_AWD_80HQTR24FA038_8000_80HQTR24AA006_8000,contract,3,P00002,,,2024-06-06,M,OTHER ADMINISTRATIVE ACTION,2025-03-20,,,,,2026-08-16
80HQTR25F7019,CONT_AWD_80HQTR25F7019_8000_80HQTR21D0004_8000,contract,3,P00002,,,2024-12-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00002,2026-04-14,,,2026-08-16
80HQTR25F7080,CONT_AWD_80HQTR25F7080_8000_80MSFC21D0009_8000,contract,2,P00001,,,2025-04-09,D,CHANGE ORDER,2025-08-28,,,,,2026-08-16
80HQTR25F7083,CONT_AWD_80HQTR25F7083_8000_80MSFC21D0009_8000,contract,2,P00001,,,2025-04-10,C,FUNDING ONLY ACTION,2025-09-04,,,,,2026-08-16
80HQTR25FA007,CONT_AWD_80HQTR25FA007_8000_80HQTR24AA005_8000,contract,4,P00003,,,2024-10-23,M,OTHER ADMINISTRATIVE ACTION,2025-03-14,,,,,2026-08-16
80HQTR25FA019,CONT_AWD_80HQTR25FA019_8000_80HQTR22AA005_8000,contract,2,P00001,,,2025-02-11,C,FUNDING ONLY ACTION,2026-06-25,,,,,2026-08-16
80HQTR25FA042,CONT_AWD_80HQTR25FA042_8000_80HQTR24DA009_8000,contract,4,P00003,,,2025-07-16,M,OTHER ADMINISTRATIVE ACTION,2026-01-14,,,,,2026-08-16
80JSC022CA012,CONT_AWD_80JSC022CA012_8000_-NONE-_-NONE-,contract,9,P00008,,,2022-08-25,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2026-08-16
80JSC024F0025,CONT_AWD_80JSC024F0025_8000_80JSC018A0012_8000,contract,10,P00009,,,2024-02-08,M,OTHER ADMINISTRATIVE ACTION,2025-05-21,,,,,2026-08-16
80JSC024F0086,CONT_AWD_80JSC024F0086_8000_80JSC020D0040_8000,contract,2,P00001,,,2024-09-18,M,OTHER ADMINISTRATIVE ACTION,2025-05-12,,,,,2026-08-16
80JSC024FA083,CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,contract,3,P00002,,,2024-03-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-01-24,P00002,2025-01-24,,,2026-08-16
80JSC024FA088,CONT_AWD_80JSC024FA088_8000_80JSC023AA001_8000,contract,1,0,,,2024-03-13,,,2024-03-13,,,,,2026-08-16
80JSC024FA120,CONT_AWD_80JSC024FA120_8000_80JSC023AA001_8000,contract,4,P00003,M,OTHER ADMINISTRATIVE ACTION,2024-05-20,A,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",2025-02-25,,,,,2026-08-16
80JSC024FA135,CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,contract,3,P00002,,,2024-06-11,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-01-27,P00002,2025-01-27,,,2026-08-16
80JSC024FA190,CONT_AWD_80JSC024FA190_8000_80JSC023DA011_8000,contract,5,P00004,,,2024-09-04,D,CHANGE ORDER,2025-06-25,,,,,2026-08-16
80JSC025FA015,CONT_AWD_80JSC025FA015_8000_80JSC023AA001_8000,contract,4,P00003,,,2024-10-31,A,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",2026-03-19,,,,,2026-08-16
80JSC025FA076,CONT_AWD_80JSC025FA076_8000_80JSC024AA029_8000,contract,18,P00017,M,OTHER ADMINISTRATIVE ACTION,2025-01-14,G,EXERCISE AN OPTION,2026-07-15,,,,,2026-08-16
80JSC025FA077,CONT_AWD_80JSC025FA077_8000_80JSC024AA029_8000,contract,28,P00027,,,2025-01-14,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-08-06,,,,,2026-08-16
80JSC026F0015,CONT_AWD_80JSC026F0015_8000_80JSC026G0003_8000,contract,2,P00001,,,2026-01-30,N,LEGAL CONTRACT CANCELLATION,2026-08-11,,,,,2026-08-16
