Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,Unnamed: 26
80KSC024F0045,80KSC021A0007,P00001,0,BPA Call Blanket Purchase Agreement,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA KENNEDY SPACE CENTER,S,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WINTER SPRINGS,FL,327080034,NONE,NONE OF THE ABOVE,L2D8MLFE2G65,L2D8MLFE2G65,THE PERFORMANCE KNOWLEDGE GROUP  LLC,THE PERFORMANCE KNOWLEDGE GROUP LLC,3C2L4,
80JSC024FA083,80JSC023AA001,P00002,0,BPA Call Blanket Purchase Agreement,"-$1,384,035.00","Jan 24, 2025","Feb 20, 2024",8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA JOHNSON SPACE CENTER,S,B599,SPECIAL STUDIES/ANALYSIS- OTHER,541330.0,ENGINEERING SERVICES,MC LEAN,VA,221023830,NONE,NONE OF THE ABOVE,JCBMLGPE6Z71,MBPHTU7Y9S65,BOOZ ALLEN HAMILTON INC,BOOZ ALLEN HAMILTON INC,17038,
80NSSC23FA279,GS10F0331M,P00003,0,DO Delivery Order,"-$6,154.45","Feb 20, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,ARLINGTON,VA,222041616,NONE,NONE OF THE ABOVE,EDMNVJVKJB35,EDMNVJVKJB35,CREATIVE SOLUTIONS INTERNATIONAL,CREATIVE SOLUTIONS INTERNATIONAL,1LVX6,
80HQTR20D0005,,P00005,0,IDC Indefinite Delivery Contract,$0.00,"Apr 8, 2025","Jan 14, 2020",8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA HEADQUARTERS,S,B539,SPECIAL STUDIES/ANALYSIS- AERONAUTICAL/SPACE,541715.0,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",MOUNTAIN VIEW,CA,940435203,NONE,NONE OF THE ABOVE,WKAUE7NHR4L1,WKAUE7NHR4L1,SETI INSTITUTE,SETI INSTITUTE,1NVY9,
80NSSC24K0113,,P00003,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,PINE BLUFF,AR,716012780,,,GS4HPMAP57Q5,CBQ1T88L7TC6,UNIVERSITY OF ARKANSAS SYSTEM,UNIVERSITY OF ARKANSAS SYSTEM,0GXB4,
80NSSC24K0115,,P00002,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,PETERSBURG,VA,238032520,,,VKZLFK6M5DD3,X6KEFGLHSJX7,VIRGINIA STATE UNIVERSITY,VIRGINIA STATE UNIVERSITY,0XRD4,
80NSSC24PA723,,P00001,0,PO Purchase Order,$0.00,"Feb 18, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,DE01,"IT and Telecom - End User: Help Desk; Tier 1-2, Workspace, Print, Output, Productivity Tools (Labor)",513110.0,NEWSPAPER PUBLISHERS,ARLINGTON,VA,222093927,NONE,NONE OF THE ABOVE,T8JGE1LE8933,T8JGE1LE8933,POLITICO  LLC,"POLITICO, LLC",7GC29,
80NSSC24PC394,,P00001,0,PO Purchase Order,$0.00,"Mar 11, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R699,SUPPORT- ADMINISTRATIVE: OTHER,813920.0,PROFESSIONAL ORGANIZATIONS,WASHINGTON,DC,200052028,NONE,NONE OF THE ABOVE,ZCCVNJ2LNMC3,SP7GLQAK9V87,PARTNERSHIP FOR PUBLIC SERVICE INC,PARTNERSHIP FOR PUBLIC SERVICE INC,3V6X8,
80NSSC25PA641,,P00001,0,PO Purchase Order,$0.00,"Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,P,6750,PHOTOGRAPHIC SUPPLIES,561920.0,CONVENTION AND TRADE SHOW ORGANIZERS,CHICAGO,IL,606017570,NONE,NONE OF THE ABOVE,M3LXR9V2VNM3,M3LXR9V2VNM3,MESSE DUSSELDORF NORTH AMERICA  INC.,"MESSE DUSSELDORF NORTH AMERICA, INC.",9HAG0,
80GRC022AA018,,P00003,0,BPA Blanket Purchase Agreement,$0.00,"Apr 15, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA GLENN RESEARCH CENTER,P,3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT,332710.0,MACHINE SHOPS,COCOA,FL,329265975,NONE,NONE OF THE ABOVE,FACXKY7FULJ4,FACXKY7FULJ4,PRECISION FABRICATING & CLEANING COMPANY  INC.,"PRECISION FABRICATING & CLEANING COMPANY, INC.",66589,
